,Bound
2247,1
2248,0
2249,0
2250,0
2251,1
2252,1
2253,1
2254,0
2255,1
2256,1
2257,1
2258,1
2259,1
2260,1
2261,1
2262,1
2263,1
2264,1
2265,1
2266,1
2267,1
2268,1
2269,1
2270,0
2271,1
2272,0
2273,0
2274,1
2275,1
2276,1
2277,0
2278,0
2279,1
2280,1
2281,1
2282,0
2283,0
2284,1
2285,0
2286,1
2287,0
2288,0
2289,1
2290,1
2291,1
2292,1
2293,0
2294,1
2295,0
2296,1
2297,1
2298,1
2299,1
2300,1
2301,1
2302,1
2303,0
2304,0
2305,1
2306,1
2307,1
2308,0
2309,1
2310,1
2311,1
2312,0
2313,0
2314,0
2315,0
2316,0
2317,0
2318,0
2319,0
2320,1
2321,1
2322,1
2323,1
2324,1
2325,0
2326,0
2327,0
2328,0
2329,1
2330,1
2331,0
2332,1
2333,1
2334,0
2335,0
2336,0
2337,1
2338,0
2339,0
2340,1
2341,1
2342,0
2343,0
2344,1
2345,0
2346,0
2347,1
2348,1
2349,1
2350,0
2351,1
2352,0
2353,1
2354,1
2355,1
2356,0
2357,0
2358,0
2359,0
2360,1
2361,1
2362,1
2363,0
2364,0
2365,1
2366,1
2367,0
2368,0
2369,0
2370,0
2371,0
2372,1
2373,1
2374,0
2375,1
2376,0
2377,0
2378,0
2379,1
2380,0
2381,0
2382,1
2383,1
2384,0
2385,0
2386,0
2387,0
2388,1
2389,0
2390,1
2391,1
2392,1
2393,0
2394,1
2395,1
2396,1
2397,0
2398,1
2399,0
2400,1
2401,0
2402,1
2403,0
2404,1
2405,1
2406,0
2407,1
2408,1
2409,1
2410,0
2411,1
2412,1
2413,0
2414,0
2415,1
2416,1
2417,1
2418,0
2419,1
2420,1
2421,0
2422,1
2423,1
2424,0
2425,1
2426,0
2427,1
2428,0
2429,1
2430,0
2431,0
2432,0
2433,1
2434,1
2435,1
2436,1
2437,1
2438,0
2439,1
2440,1
2441,0
2442,0
2443,1
2444,1
2445,1
2446,0
2447,0
2448,0
2449,0
2450,0
2451,1
2452,1
2453,0
2454,1
2455,0
2456,1
2457,1
2458,0
2459,1
2460,0
2461,1
2462,1
2463,0
2464,1
2465,1
2466,1
2467,1
2468,1
2469,1
2470,0
2471,0
2472,1
2473,1
2474,1
2475,1
2476,1
2477,0
2478,1
2479,1
2480,0
2481,0
2482,0
2483,0
2484,0
2485,1
2486,1
2487,0
2488,0
2489,0
2490,1
2491,1
2492,1
2493,0
2494,1
2495,1
2496,0
2497,1
2498,1
2499,1
2500,0
2501,0
2502,1
2503,0
2504,0
2505,1
2506,0
2507,0
2508,1
2509,1
2510,0
2511,1
2512,0
2513,0
2514,1
2515,1
2516,0
2517,1
2518,0
2519,1
2520,1
2521,0
2522,1
2523,1
2524,1
2525,1
2526,0
2527,1
2528,0
2529,1
2530,0
2531,1
2532,1
2533,0
2534,1
2535,0
2536,0
2537,0
2538,0
2539,1
2540,0
2541,0
2542,1
2543,0
2544,1
2545,1
2546,1
2547,1
2548,0
2549,1
2550,1
2551,0
2552,1
2553,1
2554,0
2555,0
2556,0
2557,0
2558,1
2559,1
2560,1
2561,0
2562,1
2563,0
2564,1
2565,0
2566,1
2567,1
2568,0
2569,1
2570,1
2571,1
2572,0
2573,0
2574,1
2575,0
2576,1
2577,0
2578,0
2579,0
2580,1
2581,1
2582,0
2583,0
2584,0
2585,0
2586,0
2587,0
2588,0
2589,1
2590,1
2591,0
2592,1
2593,0
2594,1
2595,1
2596,1
2597,0
2598,0
2599,1
2600,0
2601,0
2602,0
2603,0
2604,0
2605,0
2606,0
2607,0
2608,0
2609,1
2610,1
2611,1
2612,0
2613,0
2614,1
2615,1
2616,1
2617,1
2618,1
2619,1
2620,1
2621,0
2622,1
2623,0
2624,1
2625,0
2626,1
2627,0
2628,0
2629,1
2630,1
2631,0
2632,0
2633,1
2634,1
2635,0
2636,1
2637,0
2638,0
2639,0
2640,1
2641,1
2642,0
2643,0
2644,1
2645,0
2646,1
2647,0
2648,0
2649,1
2650,0
2651,0
2652,1
2653,1
2654,1
2655,0
2656,1
2657,1
2658,0
2659,1
2660,0
2661,0
2662,1
2663,1
2664,1
2665,0
2666,1
2667,1
2668,0
2669,1
2670,0
2671,0
2672,1
2673,1
2674,1
2675,0
2676,0
2677,1
2678,0
2679,1
2680,0
2681,0
2682,0
2683,0
2684,0
2685,1
2686,0
2687,1
2688,1
2689,0
2690,1
2691,1
2692,1
2693,0
2694,0
2695,0
2696,1
2697,1
2698,1
2699,1
2700,1
2701,0
2702,0
2703,1
2704,0
2705,0
2706,0
2707,0
2708,1
2709,0
2710,1
2711,0
2712,0
2713,1
2714,1
2715,1
2716,1
2717,0
2718,1
2719,0
2720,1
2721,0
2722,1
2723,1
2724,1
2725,0
2726,1
2727,0
2728,0
2729,0
2730,0
2731,1
2732,1
2733,0
2734,0
2735,1
2736,1
2737,0
2738,1
2739,1
2740,0
2741,0
2742,0
2743,0
2744,1
2745,1
2746,0
2747,1
2748,0
2749,0
2750,1
2751,1
2752,0
2753,0
2754,0
2755,1
2756,0
2757,0
2758,0
2759,1
2760,0
2761,0
2762,1
2763,0
2764,1
2765,0
2766,0
2767,1
2768,0
2769,1
2770,0
2771,1
2772,0
2773,0
2774,1
2775,1
2776,1
2777,0
2778,0
2779,0
2780,1
2781,1
2782,0
2783,0
2784,1
2785,0
2786,1
2787,0
2788,0
2789,1
2790,1
2791,1
2792,1
2793,0
2794,1
2795,1
2796,0
2797,1
2798,0
2799,0
2800,0
2801,1
2802,1
2803,1
2804,0
2805,0
2806,1
2807,1
2808,0
2809,0
2810,1
2811,0
2812,1
2813,0
2814,0
2815,0
2816,1
2817,0
2818,1
2819,0
2820,0
2821,0
2822,1
2823,1
2824,1
2825,0
2826,0
2827,1
2828,0
2829,1
2830,0
2831,1
2832,0
2833,1
2834,0
2835,1
2836,1
2837,1
2838,0
2839,0
2840,1
2841,0
2842,0
2843,0
2844,1
2845,0
2846,1
2847,0
2848,0
2849,0
2850,1
2851,0
2852,1
2853,1
2854,0
2855,0
2856,1
2857,0
2858,0
2859,0
2860,0
2861,1
2862,1
2863,1
2864,1
2865,0
2866,0
2867,1
2868,1
2869,1
2870,1
2871,0
2872,0
2873,0
2874,0
2875,1
2876,0
2877,0
2878,1
2879,1
2880,0
2881,1
2882,0
2883,1
2884,1
2885,0
2886,1
2887,1
2888,1
2889,1
2890,1
2891,0
2892,0
2893,0
2894,0
2895,1
2896,1
2897,0
2898,0
2899,0
2900,1
2901,0
2902,0
2903,0
2904,0
2905,1
2906,0
2907,0
2908,0
2909,0
2910,0
2911,0
2912,1
2913,1
2914,1
2915,1
2916,1
2917,0
2918,0
2919,0
2920,0
2921,1
2922,1
2923,1
2924,0
2925,1
2926,0
2927,0
2928,0
2929,1
2930,1
2931,1
2932,0
2933,0
2934,0
2935,0
2936,0
2937,1
2938,1
2939,0
2940,1
2941,1
2942,1
2943,0
2944,0
2945,1
2946,0
2947,1
2948,0
2949,1
2950,1
2951,1
2952,0
2953,1
2954,0
2955,0
2956,0
2957,1
2958,1
2959,1
2960,0
2961,1
2962,0
2963,1
2964,0
2965,1
2966,0
2967,0
2968,0
2969,0
2970,1
2971,0
2972,0
2973,1
2974,1
2975,1
2976,0
2977,1
2978,1
2979,0
2980,0
2981,0
2982,0
2983,0
2984,1
2985,0
2986,1
2987,1
2988,1
2989,0
2990,0
2991,0
2992,0
2993,1
2994,0
2995,1
2996,1
2997,0
2998,0
2999,1
3000,1
3001,1
3002,1
3003,0
3004,1
3005,1
3006,0
3007,1
3008,0
3009,0
3010,0
3011,1
3012,0
3013,0
3014,0
3015,0
3016,1
3017,1
3018,0
3019,1
3020,1
3021,1
3022,0
3023,1
3024,0
3025,1
3026,0
3027,0
3028,1
3029,1
3030,1
3031,0
3032,0
3033,0
3034,0
3035,1
3036,0
3037,1
3038,0
3039,1
3040,0
3041,0
3042,1
3043,0
3044,1
3045,0
3046,0
3047,0
3048,1
3049,0
3050,1
3051,1
3052,0
3053,1
3054,1
3055,1
3056,1
3057,1
3058,1
3059,0
3060,1
3061,1
3062,1
3063,1
3064,0
3065,0
3066,0
3067,0
3068,0
3069,1
3070,1
3071,1
3072,1
3073,0
3074,1
3075,1
3076,1
3077,1
3078,0
3079,1
3080,0
3081,1
3082,0
3083,0
3084,0
3085,1
3086,0
3087,1
3088,0
3089,0
3090,1
3091,0
3092,1
3093,1
3094,1
3095,1
3096,1
3097,0
3098,1
3099,1
3100,0
3101,1
3102,1
3103,0
3104,1
3105,1
3106,1
3107,1
3108,1
3109,1
3110,1
3111,0
3112,1
3113,0
3114,0
3115,1
3116,0
3117,1
3118,1
3119,0
3120,0
3121,0
3122,1
3123,1
3124,0
3125,0
3126,1
3127,1
3128,0
3129,1
3130,0
3131,0
3132,0
3133,0
3134,1
3135,1
3136,0
3137,1
3138,0
3139,0
3140,1
3141,1
3142,1
3143,1
3144,0
3145,1
3146,0
3147,1
3148,0
3149,1
3150,1
3151,0
3152,1
3153,0
3154,0
3155,0
3156,0
3157,1
3158,0
3159,0
3160,0
3161,1
3162,1
3163,1
3164,0
3165,1
3166,1
3167,0
3168,0
3169,0
3170,0
3171,0
3172,0
3173,0
3174,0
3175,1
3176,0
3177,0
3178,1
3179,1
3180,0
3181,0
3182,1
3183,1
3184,1
3185,0
3186,1
3187,0
3188,0
3189,0
3190,0
3191,1
3192,0
3193,0
3194,0
3195,1
3196,1
3197,1
3198,1
3199,0
3200,1
3201,1
3202,0
3203,0
3204,0
3205,1
3206,1
3207,1
3208,0
3209,0
3210,1
3211,1
3212,0
3213,1
3214,1
3215,0
3216,0
3217,1
3218,1
3219,0
3220,1
3221,0
3222,1
3223,1
3224,0
3225,1
3226,0
3227,1
3228,1
3229,0
3230,1
3231,1
3232,1
3233,1
3234,0
3235,1
3236,0
3237,0
3238,1
3239,1
3240,0
3241,0
3242,1
3243,1
3244,0
3245,1
3246,0
3247,1
3248,0
3249,0
3250,1
3251,0
3252,1
3253,1
3254,1
3255,1
3256,1
3257,1
3258,1
3259,0
3260,0
3261,0
3262,1
3263,1
3264,1
3265,0
3266,0
3267,1
3268,0
3269,0
3270,0
3271,0
3272,0
3273,0
3274,0
3275,0
3276,0
3277,0
3278,0
3279,1
3280,1
3281,1
3282,0
3283,1
3284,1
3285,1
3286,1
3287,0
3288,0
3289,1
3290,1
3291,1
3292,1
3293,1
3294,0
3295,1
3296,1
3297,0
3298,1
3299,1
3300,1
3301,0
3302,1
3303,1
3304,0
3305,1
3306,1
3307,0
3308,1
3309,0
3310,0
3311,1
3312,1
3313,0
3314,0
3315,1
3316,0
3317,0
3318,0
3319,1
3320,0
3321,0
3322,1
3323,0
3324,0
3325,1
3326,1
3327,0
3328,0
3329,0
3330,0
3331,0
3332,1
3333,1
3334,0
3335,1
3336,0
3337,0
3338,1
3339,1
3340,1
3341,0
3342,0
3343,0
3344,1
3345,0
3346,1
3347,0
3348,1
3349,0
3350,0
3351,1
3352,1
3353,0
3354,1
3355,0
3356,0
3357,1
3358,1
3359,0
3360,0
3361,0
3362,1
3363,0
3364,1
3365,0
3366,0
3367,1
3368,1
3369,1
3370,1
3371,1
3372,1
3373,0
3374,1
3375,0
3376,0
3377,0
3378,0
3379,0
3380,0
3381,0
3382,0
3383,0
3384,1
3385,0
3386,0
3387,0
3388,1
3389,1
3390,1
3391,0
3392,0
3393,0
3394,1
3395,0
3396,1
3397,1
3398,0
3399,1
3400,0
3401,1
3402,0
3403,1
3404,1
3405,0
3406,0
3407,1
3408,1
3409,1
3410,1
3411,0
3412,1
3413,1
3414,0
3415,1
3416,1
3417,1
3418,1
3419,1
3420,0
3421,0
3422,0
3423,1
3424,1
3425,0
3426,1
3427,0
3428,0
3429,1
3430,0
3431,0
3432,1
3433,0
3434,1
3435,1
3436,0
3437,1
3438,0
3439,0
3440,1
3441,0
3442,0
3443,1
3444,0
3445,0
3446,0
3447,0
3448,0
3449,0
3450,0
3451,0
3452,0
3453,1
3454,1
3455,0
3456,1
3457,0
3458,0
3459,1
3460,1
3461,0
3462,0
3463,0
3464,1
3465,1
3466,1
3467,1
3468,0
3469,0
3470,1
3471,1
3472,0
3473,1
3474,1
3475,0
3476,0
3477,0
3478,0
3479,0
3480,0
3481,1
3482,1
3483,0
3484,1
3485,0
3486,1
3487,0
3488,0
3489,0
3490,1
3491,1
3492,0
3493,0
3494,0
3495,0
3496,1
3497,0
3498,1
3499,1
3500,0
3501,1
3502,0
3503,1
3504,1
3505,0
3506,0
3507,0
3508,0
3509,1
3510,0
3511,0
3512,0
3513,1
3514,1
3515,0
3516,1
3517,1
3518,0
3519,0
3520,1
3521,1
3522,0
3523,0
3524,1
3525,0
3526,1
3527,1
3528,1
3529,0
3530,0
3531,1
3532,1
3533,1
3534,1
3535,0
3536,0
3537,0
3538,0
3539,1
3540,1
3541,0
3542,1
3543,0
3544,1
3545,1
3546,0
3547,0
3548,1
3549,0
3550,0
3551,0
3552,1
3553,0
3554,1
3555,1
3556,1
3557,1
3558,0
3559,1
3560,1
3561,1
3562,0
3563,1
3564,1
3565,1
3566,1
3567,0
3568,1
3569,1
3570,1
3571,1
3572,0
3573,0
3574,1
3575,1
3576,1
3577,0
3578,0
3579,0
3580,0
3581,1
3582,0
3583,0
3584,1
3585,1
3586,1
3587,0
3588,1
3589,1
3590,1
3591,1
3592,0
3593,0
3594,0
3595,0
3596,0
3597,0
3598,0
3599,0
3600,1
3601,0
3602,0
3603,0
3604,1
3605,1
3606,0
3607,0
3608,1
3609,0
3610,0
3611,1
3612,0
3613,1
3614,0
3615,1
3616,0
3617,1
3618,1
3619,0
3620,0
3621,1
3622,1
3623,0
3624,0
3625,0
3626,1
3627,0
3628,1
3629,1
3630,1
3631,0
3632,1
3633,1
3634,1
3635,1
3636,0
3637,1
3638,0
3639,0
3640,1
3641,0
3642,0
3643,0
3644,0
3645,1
3646,1
3647,1
3648,1
3649,0
3650,1
3651,1
3652,1
3653,1
3654,0
3655,0
3656,1
3657,0
3658,1
3659,0
3660,0
3661,0
3662,0
3663,0
3664,1
3665,0
3666,0
3667,1
3668,0
3669,0
3670,1
3671,1
3672,0
3673,0
3674,1
3675,1
3676,0
3677,1
3678,0
3679,0
3680,0
3681,1
3682,0
3683,1
3684,0
3685,1
3686,0
3687,1
3688,1
3689,0
3690,1
3691,0
3692,0
3693,1
3694,0
3695,1
3696,1
3697,1
3698,1
3699,1
3700,0
3701,1
3702,1
3703,0
3704,1
3705,1
3706,1
3707,0
3708,0
3709,1
3710,0
3711,0
3712,0
3713,1
3714,1
3715,0
3716,0
3717,1
3718,0
3719,0
3720,1
3721,0
3722,0
3723,1
3724,0
3725,1
3726,0
3727,1
3728,0
3729,0
3730,0
3731,1
3732,1
3733,0
3734,0
3735,1
3736,1
3737,1
3738,0
3739,1
3740,1
3741,0
3742,0
3743,1
3744,1
3745,1
3746,0
3747,1
3748,1
3749,0
3750,0
3751,0
3752,1
3753,0
3754,0
3755,0
3756,0
3757,0
3758,0
3759,1
3760,0
3761,1
3762,1
3763,1
3764,1
3765,1
3766,0
3767,1
3768,1
3769,1
3770,0
3771,0
3772,1
3773,1
3774,0
3775,0
3776,0
3777,0
3778,1
3779,0
3780,0
3781,0
3782,0
3783,0
3784,0
3785,0
3786,0
3787,1
3788,0
3789,0
3790,0
3791,1
3792,0
3793,0
3794,1
3795,1
3796,0
3797,1
3798,1
3799,0
3800,0
3801,1
3802,0
3803,1
3804,1
3805,0
3806,0
3807,1
3808,1
3809,0
3810,1
3811,1
3812,1
3813,1
3814,1
3815,0
3816,1
3817,0
3818,0
3819,1
3820,1
3821,1
3822,1
3823,1
3824,1
3825,0
3826,1
3827,1
3828,1
3829,0
3830,1
3831,0
3832,0
3833,1
3834,0
3835,0
3836,0
3837,1
3838,1
3839,0
3840,0
3841,0
3842,0
3843,0
3844,1
3845,1
3846,1
3847,0
3848,0
3849,0
3850,0
3851,0
3852,1
3853,1
3854,0
3855,1
3856,1
3857,0
3858,1
3859,1
3860,0
3861,0
3862,1
3863,0
3864,1
3865,1
3866,1
3867,1
3868,1
3869,1
3870,1
3871,0
3872,1
3873,1
3874,0
3875,0
3876,0
3877,0
3878,0
3879,1
3880,1
3881,0
3882,0
3883,0
3884,0
3885,0
3886,0
3887,1
3888,0
3889,0
3890,0
3891,1
3892,1
3893,1
3894,0
3895,1
3896,1
3897,1
3898,0
3899,0
3900,0
3901,0
3902,0
3903,1
3904,0
3905,1
3906,0
3907,0
3908,0
3909,1
3910,1
3911,1
3912,1
3913,1
3914,1
3915,0
3916,0
3917,0
3918,1
3919,1
3920,0
3921,1
3922,1
3923,1
3924,1
3925,0
3926,0
3927,1
3928,1
3929,0
3930,0
3931,1
3932,1
3933,1
3934,0
3935,0
3936,0
3937,1
3938,0
3939,0
3940,1
3941,0
3942,1
3943,1
3944,1
3945,0
3946,1
3947,0
3948,1
3949,0
3950,1
3951,1
3952,0
3953,0
3954,1
3955,1
3956,0
3957,1
3958,1
3959,0
3960,1
3961,1
3962,0
3963,0
3964,1
3965,1
3966,1
3967,0
3968,0
3969,0
3970,1
3971,0
3972,0
3973,1
3974,0
3975,0
3976,1
3977,0
3978,1
3979,0
3980,0
3981,0
3982,0
3983,1
3984,1
3985,0
3986,0
3987,0
3988,0
3989,1
3990,1
3991,1
3992,1
3993,1
3994,0
3995,0
3996,1
3997,1
3998,0
3999,0
